SEASON,RANK,PLAYER,AGE,TEAM,POSITION,GP,G,A,PTS,PLUS_MIN,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO_PCT,BLK,HIT,TAKE,GIVE
2024_2025,276,Nicolas Roy,27,VEG,C,71,15,16,31,-4,43,13,2,0,3,14,2,0,107,14,185,1080:28:00,15:13,371,407,47.7,47,72,20,58
2024_2025,277,Mackie Samoskevich,22,FLA,RW,72,15,16,31,-4,12,11,4,0,5,9,7,0,129,11.6,277,959:12:00,13:19,0,1,0,32,134,9,46
2024_2025,278,Scott Laughton,30,2TM,C,80,13,18,31,-18,32,12,0,1,2,17,0,1,125,10.4,237,1168:02:00,14:36,253,245,50.8,54,178,19,59
2024_2025,278,Scott Laughton,30,PHI,C,60,11,16,27,-17,21,10,0,1,1,15,0,1,105,10.5,192,906:00:00,15:06,189,192,49.6,33,129,14,48
2024_2025,278,Scott Laughton,30,TOR,C,20,2,2,4,-1,11,2,0,0,1,2,0,0,20,10,45,262:02:00,13:06,64,53,54.7,21,49,5,11
2024_2025,279,Yanni Gourde,33,2TM,C,57,7,24,31,-1,52,7,0,0,2,23,1,0,75,9.3,154,914:42:00,16:03,267,271,49.6,36,109,16,38
2024_2025,279,Yanni Gourde,33,SEA,C,36,6,11,17,-5,36,6,0,0,1,11,0,0,40,15,87,557:45:00,15:30,191,185,50.8,26,59,11,23
2024_2025,279,Yanni Gourde,33,TBL,C,21,1,13,14,4,16,1,0,0,1,12,1,0,35,2.9,67,356:57:00,0.708333333,76,86,46.9,10,50,5,15
2024_2025,280,Connor Brown,31,EDM,RW,82,13,17,30,9,10,12,0,1,4,16,0,1,123,10.6,212,1148:48:00,14:01,16,28,36.4,37,19,26,55
2024_2025,281,Vladislav Gavrikov,29,LAK,D,82,5,25,30,26,28,5,0,0,0,24,0,1,112,4.5,285,1893:06:00,23:05,0,0,,140,50,22,69
2024_2025,282,Keegan Kolesar,27,VEG,RW,82,12,18,30,3,53,12,0,0,3,17,0,1,88,13.6,167,1081:54:00,13:12,6,12,33.3,49,237,13,34
2024_2025,283,Chris Kreider,33,NYR,LW,68,22,8,30,-5,24,12,6,4,6,7,1,0,152,14.5,261,1139:17:00,16:45,27,41,39.7,26,79,9,39
2024_2025,284,Kris Letang,37,PIT,D,74,9,21,30,-15,52,4,4,1,0,13,8,0,164,5.5,361,1740:53:00,23:32,0,0,,100,120,37,100
2024_2025,285,Corey Perry,39,EDM,RW,81,19,11,30,12,61,15,4,0,4,8,3,0,100,19,200,966:54:00,11:56,17,16,51.5,26,36,13,44
2024_2025,286,Rasmus Sandin,24,WSH,D,82,4,26,30,13,23,3,1,0,0,22,4,0,78,5.1,225,1573:39:00,19:11,0,0,,122,91,26,71
2024_2025,287,Travis Sanheim,28,PHI,D,82,8,22,30,-6,40,8,0,0,0,18,2,2,139,5.8,306,2008:37:00,24:30:00,0,0,,170,84,51,127
2024_2025,288,Alex Vlasic,23,CHI,D,82,4,26,30,-23,12,3,1,0,0,14,11,1,103,3.9,211,1907:33:00,23:16,0,0,,157,59,53,97
2024_2025,289,Brandon Saad,32,2TM,LW,72,13,17,30,-8,6,13,0,0,1,14,3,0,127,10.2,216,1066:56:00,14:49,7,18,28,21,12,21,55
2024_2025,289,Brandon Saad,32,STL,LW,43,7,9,16,-14,6,7,0,0,0,7,2,0,75,9.3,131,627:43:00,14:36,3,6,33.3,11,7,13,28
2024_2025,289,Brandon Saad,32,VEG,LW,29,6,8,14,6,0,6,0,0,1,7,1,0,52,11.5,85,439:13:00,15:09,4,12,25,10,5,8,27
2024_2025,290,Joel Armia,31,MTL,RW,81,11,18,29,-2,16,8,0,3,1,15,3,0,104,10.6,232,1158:28:00,14:18,3,11,21.4,35,87,19,48
2024_2025,291,Philip Broberg,23,STL,D,68,8,21,29,21,16,8,0,0,2,19,2,0,97,8.2,238,1393:59:00,20:30,0,0,,103,43,22,103
2024_2025,292,Brent Burns,39,CAR,D,82,6,23,29,7,28,6,0,0,0,20,3,0,174,3.4,461,1718:22:00,20:57,0,0,,98,11,36,104
2024_2025,293,Ross Colton,28,COL,C,61,16,13,29,-1,18,11,5,0,3,11,2,0,125,12.8,253,879:40:00,14:25,39,58,40.2,42,145,15,47
2024_2025,294,Oliver Ekman-Larsson,33,TOR,D,77,4,25,29,14,52,2,2,0,1,23,2,0,118,3.4,288,1622:17:00,21:04,0,0,,83,108,28,95
2024_2025,295,Joel Eriksson Ek,28,MIN,C,46,14,15,29,9,22,9,5,0,1,10,5,0,140,10,217,909:15:00,19:46,408,459,47.1,36,82,14,34
2024_2025,296,Brock Faber,22,MIN,D,78,10,19,29,-2,23,8,2,0,1,10,8,1,124,8.1,298,1990:57:00,25:32:00,0,0,,115,36,29,109
2024_2025,297,Marcus Foligno,33,MIN,LW,77,14,15,29,7,75,14,0,0,1,15,0,0,91,15.4,160,1115:07:00,14:29,7,12,36.8,49,253,20,48
2024_2025,298,William Karlsson,32,VEG,C,53,9,20,29,17,4,7,0,2,4,14,6,0,119,7.6,242,901:45:00,17:01,410,296,58.1,37,20,14,50
2024_2025,299,Michael Kesselring,25,UTA,D,82,7,22,29,4,89,6,1,0,1,20,2,0,150,4.7,350,1450:18:00,17:41,0,0,,67,87,22,84
2024_2025,300,Victor Olofsson,29,VEG,RW,56,15,14,29,17,16,9,6,0,4,12,2,0,109,13.8,211,811:52:00,14:30,1,6,14.3,19,26,8,25
2024_2025,301,Jeff Skinner,32,EDM,LW,72,16,13,29,1,26,16,0,0,1,11,2,0,144,11.1,265,935:59:00,0.541666667,22,21,51.2,23,45,19,41
2024_2025,302,Danton Heinen,29,2TM,C,79,9,20,29,2,31,7,1,1,0,19,1,0,81,11.1,165,1061:59:00,13:27,18,28,39.1,37,81,19,48
2024_2025,302,Danton Heinen,29,VAN,C,51,6,12,18,-1,31,5,1,0,0,11,1,0,44,13.6,102,711:05:00,13:57,14,19,42.4,25,50,11,26
2024_2025,302,Danton Heinen,29,PIT,C,28,3,8,11,3,0,2,0,1,0,8,0,0,37,8.1,63,350:54:00,12:32,4,9,30.8,12,31,8,22
2024_2025,303,Marcus Pettersson,28,2TM,D,78,4,25,29,6,45,4,0,0,1,24,0,1,70,5.7,215,1691:52:00,21:41,0,0,,144,80,32,88
2024_2025,303,Marcus Pettersson,28,PIT,D,47,3,15,18,-2,25,3,0,0,1,14,0,1,43,7,142,1036:08:00,22:03,0,0,,83,57,23,60
2024_2025,303,Marcus Pettersson,28,VAN,D,31,1,10,11,8,20,1,0,0,0,10,0,0,27,3.7,73,655:44:00,21:09,0,0,,61,23,9,28
2024_2025,304,Zach Benson,19,BUF,LW,75,10,18,28,-2,60,7,3,0,0,17,1,0,120,8.3,212,1111:23:00,14:49,4,17,19,29,35,19,41
2024_2025,305,Alexander Kerfoot,30,UTA,C,81,11,17,28,-5,14,9,0,2,1,16,1,0,100,11,177,1235:32:00,15:15,259,234,52.5,67,59,30,78
2024_2025,306,Peyton Krebs,24,BUF,C,81,10,18,28,1,60,8,1,1,0,18,0,0,80,12.5,199,1128:29:00,13:56,326,339,49,32,136,10,46
2024_2025,307,Adam Larsson,32,SEA,D,82,7,21,28,22,31,7,0,0,1,21,0,0,112,6.3,263,1737:14:00,21:11,0,0,,148,104,33,55
2024_2025,308,Andrew Mangiapane,28,WSH,LW,81,14,14,28,0,24,13,0,1,3,10,4,0,95,14.7,183,1055:08:00,13:02,5,7,41.7,30,74,11,49
2024_2025,309,Dmitry Orlov,33,CAR,D,76,6,22,28,16,24,6,0,0,2,21,1,0,117,5.1,310,1519:44:00,0.833333333,0,0,,60,101,21,98
2024_2025,310,Ondřej Palát,33,NJD,LW,77,15,13,28,-5,12,12,2,1,3,11,2,0,96,15.6,192,1059:05:00,13:45,4,16,20,58,124,24,56
2024_2025,311,Jordan Spence,23,LAK,D,79,4,24,28,23,16,4,0,0,0,19,5,0,86,4.7,261,1326:18:00,16:47,0,0,,77,80,15,72
2024_2025,312,Kevin Stenlund,28,UTA,C,82,14,14,28,-6,40,13,0,1,1,14,0,0,102,13.7,196,1176:47:00,14:21,624,430,59.2,64,50,16,50
2024_2025,313,Gustav Nyquist,35,2TM,RW,79,11,17,28,-24,16,8,2,1,0,15,1,1,103,10.7,234,1331:26:00,16:51,11,19,36.7,30,44,19,59
2024_2025,313,Gustav Nyquist,35,NSH,RW,57,9,12,21,-20,12,7,1,1,0,12,0,0,71,12.7,171,1006:29:00,17:39,11,13,45.8,22,29,13,49
2024_2025,313,Gustav Nyquist,35,MIN,RW,22,2,5,7,-4,4,1,1,0,0,3,1,1,32,6.3,63,324:57:00,14:46,0,6,0,8,15,6,10
2024_2025,314,Michael Amadio,28,OTT,C,72,11,16,27,12,18,10,1,0,2,16,0,0,85,12.9,165,1014:54:00,14:06,49,47,51,44,108,24,36
2024_2025,315,Josh Anderson,30,MTL,RW,81,15,12,27,-2,90,14,0,1,1,12,0,0,109,13.8,210,1159:53:00,14:19,29,20,59.2,39,176,17,36
2024_2025,316,Viktor Arvidsson,31,EDM,LW,67,15,12,27,-3,24,14,1,0,2,10,2,0,158,9.5,301,1004:46:00,0.625,17,35,32.7,23,32,15,67
2024_2025,317,Nic Dowd,34,WSH,C,82,14,13,27,7,56,12,0,2,3,13,0,0,86,16.3,166,1244:26:00,15:11,596,599,49.9,82,128,32,51
2024_2025,318,Adam Henrique,34,EDM,C,81,12,15,27,2,16,9,2,1,3,11,4,0,104,11.5,181,1186:10:00,14:39,562,448,55.6,85,58,19,57
2024_2025,319,Jack McBain,25,UTA,C,82,13,14,27,8,78,12,1,0,1,12,2,0,90,14.4,189,1112:59:00,13:34,229,231,49.8,50,291,16,63
2024_2025,320,K'Andre Miller,25,NYR,D,74,7,20,27,0,22,7,0,0,1,18,2,0,110,6.4,261,1624:03:00,21:57,0,0,,110,107,47,97
2024_2025,321,Tanner Pearson,32,VEG,LW,78,12,15,27,4,8,11,0,1,2,15,0,0,109,11,201,919:21:00,11:47,6,18,25,45,96,15,46
2024_2025,322,Taylor Raddysh,26,WSH,RW,80,7,20,27,-7,18,7,0,0,1,19,1,0,93,7.5,185,988:52:00,12:22,9,20,31,28,59,11,44
2024_2025,323,Jaccob Slavin,30,CAR,D,80,6,21,27,16,8,6,0,0,2,18,0,3,110,5.5,319,1725:49:00,21:34,0,0,,136,21,61,78
2024_2025,324,Connor Zary,23,CGY,C,54,13,14,27,-7,14,12,1,0,2,6,8,0,111,11.7,211,868:00:00,16:04,90,151,37.3,26,26,10,40
2024_2025,325,Teddy Blueger,30,VAN,C,82,8,18,26,-7,39,8,0,0,0,18,0,0,94,8.5,186,1174:01:00,14:19,510,505,50.2,43,104,22,50
2024_2025,326,Jordan Eberle,34,SEA,RW,42,9,17,26,0,14,8,1,0,1,13,4,0,66,13.6,130,683:03:00,16:16,7,11,38.9,25,13,21,28
2024_2025,327,Dante Fabbro,26,2TM,D,68,9,17,26,20,40,9,0,0,3,17,0,0,89,10.1,218,1420:54:00,20:54,0,0,,143,67,24,78
2024_2025,327,Dante Fabbro,26,NSH,D,6,0,0,0,-3,0,0,0,0,0,0,0,0,7,0,14,78:33:00,13:06,0,0,,7,1,1,12
2024_2025,327,Dante Fabbro,26,CBJ,D,62,9,17,26,23,40,9,0,0,3,17,0,0,82,11,204,1342:21:00,21:39,0,0,,136,66,23,66
2024_2025,328,Adam Gaudette,28,OTT,C,81,19,7,26,12,12,16,3,0,4,7,0,0,90,21.1,191,844:13:00,10:25,176,174,50.3,28,68,8,38
2024_2025,329,Ryan Hartman,30,MIN,RW,69,11,15,26,-7,75,8,3,0,1,11,4,0,158,7,300,1032:58:00,14:58,282,308,47.8,41,73,21,66
2024_2025,330,Esa Lindell,30,DAL,D,80,5,21,26,34,14,4,1,0,0,21,0,0,99,5.1,229,1774:27:00,22:11,0,0,,170,50,30,109
2024_2025,331,Frank Nazar,21,CHI,C,53,12,14,26,-11,24,10,1,1,2,10,3,1,91,13.2,171,841:11:00,15:52,170,211,44.6,35,30,8,57
2024_2025,332,Alex Newhook,24,MTL,C,82,15,11,26,-21,24,14,1,0,3,8,3,0,118,12.7,264,1240:50:00,15:08,239,319,42.8,32,89,15,38
2024_2025,333,Filip Chytil,25,2TM,C,56,13,13,26,-7,18,12,1,0,1,9,4,0,133,9.8,255,838:12:00,14:58,264,300,46.8,13,19,15,36
2024_2025,333,Filip Chytil,25,NYR,C,41,11,9,20,4,14,10,1,0,1,7,2,0,89,12.4,177,587:47:00,14:20,184,219,45.7,9,12,8,25
2024_2025,333,Filip Chytil,25,VAN,C,15,2,4,6,-11,4,2,0,0,0,2,2,0,44,4.5,78,250:25:00,16:42,80,81,49.7,4,7,7,11
2024_2025,334,Mavrik Bourque,23,DAL,C,73,11,14,25,6,8,10,1,0,1,12,2,0,80,13.8,165,925:56:00,12:41,161,187,46.3,37,46,12,39
2024_2025,335,Ryker Evans,23,SEA,D,73,5,20,25,-12,30,4,1,0,0,18,2,0,59,8.5,174,1422:05:00,19:29,0,0,,106,123,12,73
2024_2025,336,Martin Fehérváry,25,WSH,D,81,5,20,25,18,25,5,0,0,0,18,0,2,76,6.6,199,1539:23:00,19:00,0,0,,150,139,11,61
2024_2025,337,Miro Heiskanen,25,DAL,D,50,5,20,25,7,10,5,0,0,0,13,7,0,108,4.6,287,1258:01:00,25:10:00,0,0,,85,17,28,67
2024_2025,338,Nils Höglander,24,VAN,LW,72,8,17,25,5,30,8,0,0,2,16,1,0,83,9.6,152,873:20:00,12:08,0,1,0,23,76,13,36
2024_2025,339,Brett Kulak,31,EDM,D,82,7,18,25,-7,18,7,0,0,0,18,0,0,135,5.2,293,1683:52:00,20:32,0,0,,118,28,23,81
2024_2025,340,Martin Pospisil,25,CGY,C,81,4,21,25,3,84,3,1,0,0,18,3,0,114,3.5,234,1118:27:00,13:48,71,103,40.8,26,301,17,53
2024_2025,341,Damon Severson,30,CBJ,D,70,6,19,25,5,47,6,0,0,1,19,0,0,91,6.6,197,1333:46:00,19:03,0,0,,104,43,28,85
2024_2025,342,Sam Steel,26,DAL,C,79,6,19,25,-6,31,5,0,1,1,17,0,2,89,6.7,177,1117:05:00,14:08,214,186,53.5,26,60,13,41
2024_2025,343,Alex Turcotte,23,LAK,C,68,9,16,25,6,20,8,1,0,2,16,0,0,79,11.4,148,798:06:00,11:44,55,66,45.5,30,46,9,39
2024_2025,344,Anthony Beauvillier,27,2TM,LW,81,15,10,25,2,14,14,0,1,0,9,1,0,149,10.1,265,1042:48:00,12:52,11,13,45.8,36,139,15,29
2024_2025,344,Anthony Beauvillier,27,PIT,LW,63,13,7,20,-1,14,12,0,1,0,6,1,0,120,10.8,213,819:10:00,13:00,4,7,36.4,26,108,15,21
2024_2025,344,Anthony Beauvillier,27,WSH,LW,18,2,3,5,3,0,2,0,0,0,3,0,0,29,6.9,52,223:38:00,12:25,7,6,53.8,10,31,0,8
2024_2025,345,Joel Farabee,24,2TM,LW,81,11,14,25,-17,34,11,0,0,1,10,4,0,151,7.3,253,1207:59:00,14:55,18,31,36.7,50,94,19,64
2024_2025,345,Joel Farabee,24,PHI,LW,50,8,11,19,-12,26,8,0,0,0,8,3,0,99,8.1,161,760:24:00,15:12,11,25,30.6,34,55,15,45
2024_2025,345,Joel Farabee,24,CGY,LW,31,3,3,6,-5,8,3,0,0,1,2,1,0,52,5.8,92,447:35:00,14:26,7,6,53.8,16,39,4,19
2024_2025,346,Alexandre Carrier,28,2TM,D,79,3,22,25,-10,40,3,0,0,0,21,0,1,82,3.7,182,1626:22:00,20:35,0,0,,169,75,22,64
2024_2025,346,Alexandre Carrier,28,NSH,D,28,1,6,7,-14,12,1,0,0,0,5,0,1,23,4.3,57,563:39:00,20:08,0,0,,49,31,13,26
2024_2025,346,Alexandre Carrier,28,MTL,D,51,2,16,18,4,28,2,0,0,0,16,0,0,59,3.4,125,1062:43:00,20:50,0,0,,120,44,9,38
2024_2025,347,Drew O'Connor,26,2TM,F,84,10,15,25,-16,34,8,1,1,2,13,1,1,117,8.5,247,1214:51:00,14:28,48,67,41.7,57,83,36,61
2024_2025,347,Drew O'Connor,26,PIT,F,53,6,10,16,-14,16,4,1,1,1,9,1,0,82,7.3,171,774:53:00,14:37,38,54,41.3,40,51,24,39
2024_2025,347,Drew O'Connor,26,VAN,F,31,4,5,9,-2,18,4,0,0,1,4,0,1,35,11.4,76,439:58:00,14:12,10,13,43.5,17,32,12,22
2024_2025,348,Michael Anderson,25,LAK,D,77,6,18,24,17,28,6,0,0,0,18,0,0,84,7.1,248,1747:09:00,22:41,0,0,,124,119,22,57
2024_2025,349,Jonatan Berggren,24,DET,RW,75,12,12,24,-13,14,9,3,0,1,10,2,0,88,13.6,183,973:17:00,12:59,5,12,29.4,16,41,11,31
2024_2025,350,Samuel Girard,26,COL,D,73,3,21,24,7,14,3,0,0,2,20,1,0,95,3.2,227,1522:00:00,20:51,0,0,,111,62,24,86
2024_2025,351,Jiri Kulich,20,BUF,C,62,15,9,24,-4,18,15,0,0,3,9,0,0,134,11.2,262,917:09:00,14:48,254,304,45.5,36,40,15,33
2024_2025,352,Eetu Luostarinen,26,FLA,C,80,9,15,24,12,28,8,0,1,3,13,1,1,87,10.3,185,1223:04:00,15:17,33,40,45.2,60,183,20,43
2024_2025,353,Tyler Myers,34,VAN,D,71,6,18,24,2,74,5,0,1,0,16,1,1,87,6.9,233,1476:13:00,20:48,0,0,,125,87,31,61
2024_2025,354,Vasily Podkolzin,23,EDM,RW,82,8,16,24,1,48,8,0,0,2,16,0,0,114,7,206,1083:41:00,13:13,14,43,24.6,53,211,20,55
2024_2025,355,Matt Roy,29,WSH,D,69,3,21,24,18,25,3,0,0,0,21,0,0,84,3.6,247,1371:39:00,19:53,0,0,,113,114,15,91
2024_2025,356,Philip Tomasino,23,2TM,C,61,11,13,24,-10,8,8,3,0,6,8,5,0,104,10.6,177,797:02:00,13:04,5,12,29.4,23,63,17,32
2024_2025,356,Philip Tomasino,23,NSH,C,11,0,1,1,0,0,0,0,0,0,1,0,0,17,0,27,124:19:00,11:18,4,4,50,3,10,2,8
2024_2025,356,Philip Tomasino,23,PIT,C,50,11,12,23,-10,8,8,3,0,6,7,5,0,87,12.6,150,672:43:00,13:27,1,8,11.1,20,53,15,24
2024_2025,357,Cody Ceci,31,2TM,D,85,4,20,24,6,24,4,0,0,2,19,0,1,90,4.4,220,1803:00:00,21:13,0,0,,155,76,23,77
2024_2025,357,Cody Ceci,31,SJS,D,54,4,11,15,-9,14,4,0,0,2,11,0,0,60,6.7,135,1175:41:00,21:46,0,0,,100,52,16,53
2024_2025,357,Cody Ceci,31,DAL,D,31,0,9,9,15,10,0,0,0,0,8,0,1,30,0,85,627:19:00,20:14,0,0,,55,24,7,24
2024_2025,358,Jesper Boqvist,26,FLA,C,78,12,11,23,-4,14,11,0,1,3,11,0,0,87,13.8,167,1033:11:00,13:15,71,97,42.3,27,191,18,33
2024_2025,359,Andrew Copp,30,DET,C,56,10,13,23,4,8,9,0,1,2,12,1,0,68,14.7,119,823:20:00,14:42,318,309,50.7,35,9,18,37
2024_2025,360,Kevin Hayes,32,PIT,RW,64,13,10,23,-15,8,9,4,0,1,6,3,1,98,13.3,194,771:03:00,12:03,237,217,52.2,11,52,14,33
2024_2025,361,Joel Kiviranta,28,COL,F,79,16,7,23,15,20,15,0,1,2,7,0,0,84,19,160,989:14:00,12:31,23,25,47.9,38,114,17,36
2024_2025,362,Charlie McAvoy,27,BOS,D,50,7,16,23,0,46,4,2,1,2,14,2,0,98,7.1,204,1183:31:00,23:40,0,0,,81,89,26,72
2024_2025,363,Jake McCabe,31,TOR,D,66,2,21,23,23,40,2,0,0,0,20,0,1,74,2.7,170,1419:50:00,21:31,0,0,,135,118,9,83
2024_2025,364,Ryan Pulock,30,NYI,D,74,5,18,23,2,16,4,1,0,1,15,1,2,97,5.2,226,1559:54:00,21:05,0,0,,155,100,32,78
2024_2025,365,Mason Appleton,29,WPG,C,71,10,12,22,7,22,10,0,0,3,11,1,0,107,9.3,185,1053:01:00,14:50,10,12,45.5,29,76,15,38
2024_2025,366,Paul Cotter,25,NJD,C,79,16,6,22,-14,62,16,0,0,2,6,0,0,90,17.8,202,1033:11:00,13:05,41,37,52.6,32,245,17,39
2024_2025,367,Kirby Dach,24,MTL,C,57,10,12,22,-29,40,9,1,0,2,6,6,0,84,11.9,155,893:25:00,15:40,96,142,40.3,36,100,10,39
2024_2025,368,Niko Mikkola,28,FLA,D,76,6,16,22,12,70,6,0,0,0,16,0,0,116,5.2,264,1534:46:00,20:12,0,0,,88,137,15,99
2024_2025,369,Thomas Novak,27,2TM,C,54,13,9,22,-7,4,12,1,0,2,5,4,0,92,14.1,155,714:29:00,13:14,94,126,42.7,26,6,12,48
2024_2025,369,Thomas Novak,27,NSH,C,52,13,9,22,-5,4,12,1,0,2,5,4,0,88,14.8,147,688:27:00,13:14,92,122,43,21,6,11,47
2024_2025,369,Thomas Novak,27,PIT,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,4,0,8,26:02:00,13:01,2,4,33.3,5,0,1,1
2024_2025,370,Lukas Reichel,22,CHI,LW,70,8,14,22,-16,12,8,0,0,1,12,2,0,72,11.1,117,833:47:00,11:55,142,214,39.9,29,24,13,36
2024_2025,371,Nicholas Robertson,23,TOR,LW,69,15,7,22,-1,16,13,2,0,3,7,0,0,112,13.4,232,828:11:00,12:00,3,4,42.9,33,79,17,26
2024_2025,372,Nikita Zadorov,29,BOS,D,81,4,18,22,25,145,4,0,0,0,16,0,2,105,3.8,267,1669:31:00,20:37,0,0,,107,219,25,104
2024_2025,373,Justin Brazeau,26,2TM,F,76,11,11,22,-9,18,7,4,0,3,10,1,0,89,12.4,158,901:43:00,11:52,3,10,23.1,38,123,14,43
2024_2025,373,Justin Brazeau,26,BOS,F,57,10,10,20,-6,16,6,4,0,2,9,1,0,78,12.8,138,739:15:00,12:58,3,10,23.1,26,89,10,33
2024_2025,373,Justin Brazeau,26,MIN,F,19,1,1,2,-3,2,1,0,0,1,1,0,0,11,9.1,20,162:28:00,8:33,0,0,,12,34,4,10
2024_2025,374,Ryan Lindgren,26,2TM,D,72,4,18,22,0,40,4,0,0,0,16,0,2,63,6.3,205,1418:41:00,19:42,0,0,,128,80,12,72
2024_2025,374,Ryan Lindgren,26,NYR,D,54,2,17,19,1,36,2,0,0,0,15,0,2,42,4.8,146,1076:46:00,19:56,0,0,,102,59,10,55
2024_2025,374,Ryan Lindgren,26,COL,D,18,2,1,3,-1,4,2,0,0,0,1,0,0,21,9.5,59,341:55:00,0.791666667,0,0,,26,21,2,17
2024_2025,375,Brandon Tanev,33,2TM,LW,79,10,12,22,-12,16,10,0,0,0,12,0,0,99,10.1,181,1044:55:00,13:14,7,24,22.6,105,168,23,52
2024_2025,375,Brandon Tanev,33,SEA,LW,60,9,8,17,-12,10,9,0,0,0,8,0,0,85,10.6,142,836:24:00,13:56,7,20,25.9,91,122,17,40
2024_2025,375,Brandon Tanev,33,WPG,LW,19,1,4,5,0,6,1,0,0,0,4,0,0,14,7.1,39,208:31:00,10:58,0,4,0,14,46,6,12
2024_2025,376,Brian Dumoulin,33,2TM,D,80,3,19,22,-1,14,3,0,0,1,19,0,0,69,4.3,163,1563:30:00,19:33,0,0,,109,74,28,53
2024_2025,376,Brian Dumoulin,33,ANA,D,61,2,14,16,2,10,2,0,0,0,14,0,0,57,3.5,135,1207:20:00,19:48,0,0,,91,60,19,40
2024_2025,376,Brian Dumoulin,33,NJD,D,19,1,5,6,-3,4,1,0,0,1,5,0,0,12,8.3,28,356:10:00,18:45,0,0,,18,14,9,13
2024_2025,377,Lars Eller,35,2TM,C,80,10,12,22,-5,36,10,0,0,0,11,1,0,104,9.6,205,1063:19:00,13:17,392,359,52.2,35,57,16,50
2024_2025,377,Lars Eller,35,PIT,C,17,4,3,7,-4,10,4,0,0,0,3,0,0,27,14.8,52,279:10:00,16:25,103,81,56,9,17,2,12
2024_2025,377,Lars Eller,35,WSH,C,63,6,9,15,-1,26,6,0,0,0,8,1,0,77,7.8,153,784:09:00,12:27,289,278,51,26,40,14,38
2024_2025,378,Cody Glass,25,2TM,C,65,6,16,22,-5,16,5,1,0,1,15,1,0,91,6.6,189,887:37:00,13:39,242,231,51.2,38,53,12,32
2024_2025,378,Cody Glass,25,PIT,C,51,4,11,15,-9,12,3,1,0,1,10,1,0,78,5.1,153,684:19:00,13:25,178,160,52.7,31,43,11,22
2024_2025,378,Cody Glass,25,NJD,C,14,2,5,7,4,4,2,0,0,0,5,0,0,13,15.4,36,203:18:00,14:31,64,71,47.4,7,10,1,10
2024_2025,379,Erik Černák,27,TBL,D,76,3,18,21,29,50,3,0,0,0,16,0,2,64,4.7,183,1387:48:00,18:16,0,0,,99,157,20,41
2024_2025,380,Justin Danforth,31,CBJ,RW,61,9,12,21,-6,18,8,0,1,1,11,1,0,94,9.6,140,877:27:00,14:23,327,334,49.5,49,126,8,26
2024_2025,381,Brandon Duhaime,27,WSH,RW,82,9,12,21,3,98,9,0,0,1,11,0,1,83,10.8,177,1094:11:00,13:21,18,25,41.9,65,165,12,38
2024_2025,382,Garnet Hathaway,33,PHI,RW,67,10,11,21,5,58,8,0,2,1,11,0,0,80,12.5,138,794:52:00,11:52,7,12,36.8,61,257,8,27
2024_2025,383,Erik Haula,33,NJD,LW,69,11,10,21,-6,39,9,2,0,1,7,3,0,110,10,195,1014:35:00,14:42,378,341,52.6,35,101,14,44
2024_2025,384,Nick Jensen,34,OTT,D,71,3,18,21,18,6,3,0,0,0,18,0,0,77,3.9,207,1435:39:00,20:13,0,0,,95,55,19,81
2024_2025,385,Jacob Middleton,29,MIN,D,67,8,13,21,11,40,8,0,0,0,13,0,0,97,8.2,224,1465:35:00,21:52,0,0,,157,99,21,64
2024_2025,386,Logan O'Connor,28,COL,RW,80,10,11,21,-4,26,10,0,0,1,10,0,1,89,11.2,175,1129:53:00,14:07,27,43,38.6,50,68,17,32
2024_2025,387,Adam Pelech,30,NYI,D,60,0,21,21,4,32,0,0,0,0,20,1,0,109,0,278,1266:50:00,21:07,0,0,,87,73,36,58
2024_2025,388,Michael Rasmussen,25,DET,C,77,11,10,21,-12,24,9,2,0,1,8,2,0,99,11.1,191,1032:41:00,13:25,91,105,46.4,59,141,10,42
2024_2025,389,Braden Schneider,23,NYR,D,80,6,15,21,9,18,5,0,1,1,14,0,1,95,6.3,224,1429:21:00,17:52,0,0,,145,146,19,96
2024_2025,390,Tyler Seguin,33,DAL,C,20,9,12,21,15,4,6,3,0,2,12,0,0,46,19.6,93,322:59:00,16:09,92,82,52.9,6,5,4,13
2024_2025,391,Colton Sissons,31,NSH,C,72,7,14,21,-12,22,7,0,0,0,13,1,0,80,8.8,150,1033:51:00,14:22,342,282,54.8,67,100,20,32
2024_2025,392,Trevor van Riemsdyk,33,WSH,D,82,1,20,21,20,34,1,0,0,0,20,0,0,80,1.3,215,1447:59:00,17:40,0,0,,151,10,25,57
2024_2025,393,Kevin Bahl,24,CGY,D,73,3,17,20,-6,35,2,1,0,0,17,0,0,82,3.7,219,1561:16:00,21:23,0,0,,116,109,24,85
2024_2025,394,Mathew Barzal,27,NYI,C,30,6,14,20,10,4,5,1,0,1,11,3,0,78,7.7,171,610:29:00,20:21,22,30,42.3,24,24,10,36
2024_2025,395,Jonas Brodin,31,MIN,D,50,4,16,20,10,18,4,0,0,1,15,0,1,71,5.6,178,1147:27:00,22:57,0,0,,104,27,21,53
2024_2025,396,Sam Carrick,32,NYR,C,80,6,14,20,5,58,5,0,1,2,12,0,2,84,7.1,164,954:33:00,11:56,375,317,54.2,42,137,16,52
